x, f(x), f'(x), f''(x)
 -1.61600000e+00,  1.08103462e-01,  1.74694470e-01,  1.74190483e-01
 -1.60800000e+00,  1.09506592e-01,  1.76085821e-01,  1.73627045e-01
 -1.60000000e+00,  1.10920835e-01,  1.77472503e-01,  1.73022763e-01
 -1.59200000e+00,  1.12346152e-01,  1.78854185e-01,  1.72377265e-01
 -1.58400000e+00,  1.13782502e-01,  1.80230539e-01,  1.71690188e-01
 -1.57600000e+00,  1.15229840e-01,  1.81601228e-01,  1.70961178e-01
 -1.56800000e+00,  1.16688121e-01,  1.82965918e-01,  1.70189888e-01
 -1.56000000e+00,  1.18157295e-01,  1.84324267e-01,  1.69375983e-01
 -1.55200000e+00,  1.19637310e-01,  1.85675933e-01,  1.68519136e-01
 -1.54400000e+00,  1.21128110e-01,  1.87020573e-01,  1.67619029e-01
 -1.53600000e+00,  1.22629639e-01,  1.88357838e-01,  1.66675355e-01
 -1.52800000e+00,  1.24141835e-01,  1.89687379e-01,  1.65687818e-01
 -1.52000000e+00,  1.25664637e-01,  1.91008843e-01,  1.64656130e-01
 -1.51200000e+00,  1.27197977e-01,  1.92321877e-01,  1.63580017e-01
 -1.50400000e+00,  1.28741787e-01,  1.93626123e-01,  1.62459212e-01
 -1.49600000e+00,  1.30295995e-01,  1.94921224e-01,  1.61293463e-01
 -1.48800000e+00,  1.31860526e-01,  1.96206819e-01,  1.60082527e-01
 -1.48000000e+00,  1.33435304e-01,  1.97482544e-01,  1.58826172e-01
 -1.47200000e+00,  1.35020247e-01,  1.98748037e-01,  1.57524182e-01
 -1.46400000e+00,  1.36615273e-01,  2.00002931e-01,  1.56176347e-01
 -1.45600000e+00,  1.38220294e-01,  2.01246859e-01,  1.54782475e-01
 -1.44800000e+00,  1.39835222e-01,  2.02479451e-01,  1.53342383e-01
 -1.44000000e+00,  1.41459965e-01,  2.03700337e-01,  1.51855902e-01
 -1.43200000e+00,  1.43094428e-01,  2.04909145e-01,  1.50322876e-01
 -1.42400000e+00,  1.44738512e-01,  2.06105503e-01,  1.48743161e-01
 -1.41600000e+00,  1.46392116e-01,  2.07289036e-01,  1.47116628e-01
 -1.40800000e+00,  1.48055136e-01,  2.08459369e-01,  1.45443161e-01
 -1.40000000e+00,  1.49727466e-01,  2.09616127e-01,  1.43722657e-01
 -1.39200000e+00,  1.51408994e-01,  2.10758932e-01,  1.41955029e-01
 -1.38400000e+00,  1.53099609e-01,  2.11887407e-01,  1.40140201e-01
 -1.37600000e+00,  1.54799193e-01,  2.13001175e-01,  1.38278114e-01
 -1.36800000e+00,  1.56507627e-01,  2.14099857e-01,  1.36368723e-01
 -1.36000000e+00,  1.58224790e-01,  2.15183074e-01,  1.34411997e-01
 -1.35200000e+00,  1.59950557e-01,  2.16250449e-01,  1.32407920e-01
 -1.34400000e+00,  1.61684798e-01,  2.17301601e-01,  1.30356493e-01
 -1.33600000e+00,  1.63427382e-01,  2.18336153e-01,  1.28257728e-01
 -1.32800000e+00,  1.65178176e-01,  2.19353725e-01,  1.26111657e-01
 -1.32000000e+00,  1.66937042e-01,  2.20353939e-01,  1.23918325e-01
 -1.31200000e+00,  1.68703839e-01,  2.21336418e-01,  1.21677793e-01
 -1.30400000e+00,  1.70478424e-01,  2.22300784e-01,  1.19390138e-01
 -1.29600000e+00,  1.72260652e-01,  2.23246660e-01,  1.17055453e-01
